Kategori | Ölçü / Kod | Formül / Kural | Açıklama
Kontrol Listesi | Kontroller | Otomatik kapi, gunes kirici, alikobond, mermer, cam teyidi, dikey profil derinlik teyidi | Onay oncesi kontrol listesi
Ikazlar | Sifir Kot | 10.5cm sap uyarisi | Zemin kotu icin uyari
Ikazlar | Kiris Alti Sifir | 10-15cm alcipan uyarisi | Kiris alti icin uyari
Ikazlar | Cati Alin | Yatay 15cm asagi uyarisi | Cati alini icin uyari
Sorular | Standart Sorular | Kor kasa eklensin mi, yalitim yapilsin mi | Her hesapta sorulur
Mutalaa | Durum | Aktif = true | Sistem onay modu

Degisken Tanimlari | Kapi | Kapi_Adet, Kapi_Genislik, Kapi_Yukseklik | Kapi degiskenleri
Degisken Tanimlari | Kanat | Kanat_Adet, Kanat_Genislik, Kanat_Yukseklik | Kanat degiskenleri
Degisken Tanimlari | Kasa Kanat | Ayri hesaplanir | Kasa iceren kanatlar ayri islem gorur
Donanim | Standart | Normal kilit, boru kol | Varsayilan donanim seti

Yon/Sekme Kontrolu | Kickplate | Kapi alti yatay kayit 2 sira | Kapi eteği kurali
Profil Kategorileri | Kasa/Kanat/Orta | Turune gore ayri hesaplanir | Profil kategori ayrimi

PDF Rapor - Bolum 3 | Baslik | DETAYLI PROFIL VE OLCU YONTEMI (1 MODUL) | 3 sutun: Eleman Sinifi, Formul/Aciklama, Olcu(m)
PDF Rapor - Bolum 3 | Alt Toplam Satiri | Koyu gri zemin, sagda bold toplam | Formatlama kurali
PDF Rapor - Bolum 4 | Baslik | GENEL IMALAT VE MALIYET TEKLIF ANALIZI (3 MODUL) | 6 sutun: Kalem, 1 Birim Olcu, 3 Birim Toplam, Birim, Birim Fiyat, Toplam Tutar
PDF Rapor - Bolum 4 | Satirlar | Toplam Alan, Kasa, Kayit, Kanat, Cita, Dikey/Yatay Profil Agirlik(kg), Cam Bedeli | Kalem listesi
PDF Rapor - Bolum 4 | Son Satir | GENEL TEKLIF TUTARI (KDV HARIC) | 12px Bold, belirgin zemin
PDF Rapor - Bolum 5 | Notlar | Madde isaretli imalat notlari + ilave talep uyarisi | Sistem ve imalat notlari
PDF Rapor - Bolum 5 | Imza Bloklari | Sol: Hazirlayan/Duzenleyen - Sag: Musteri/Firma Onayi | Iki sutunlu imza alani
PDF Rapor - Bolum 6 | Footer | Sol: Sistem adi - Sag: Sayfa X/Y | Sayfa alti bilgisi

PDF Format Kurallari | Font | Arial, Helvetica Neue, sans-serif | Govde 10px, Basliklar 12-14px Bold
PDF Format Kurallari | Ana Baslik Rengi | #1E293B zemin, #FFFFFF yazi | Koyu lacivert/siyah
PDF Format Kurallari | Bolum Basligi | #1E293B zemin, beyaz bold yazi, padding 6px 10px | Section header
PDF Format Kurallari | Cerceve Rengi | #CBD5E1 | Ince gri kenarlik
PDF Format Kurallari | Zebra Satir | Tek: #FFFFFF, Cift: #F8FAFC | Tablo satir renklendirme
PDF Format Kurallari | Vurgu Satiri (Toplam) | #FEF3C7 zemin, 2px koyu cizgi | Toplam tutar vurgusu
PDF Yapisi - Bolum 1 | Sol Ust Baslik | ALUMINYUM DOGRAMA TEKLIF VE METRAJ RAPORU | 16px Bold
PDF Yapisi - Bolum 1 | Alt Baslik | Otomatik Giydirme Cephe ve Aluminyum Dograma Metraj Sistemi | 11px
PDF Yapisi - Bolum 1 | Bilgi Izgarasi Sol | Tarih, Rapor No, Revizyon, Sistem Tipi | 2 sutunlu kart - sol
PDF Yapisi - Bolum 1 | Bilgi Izgarasi Sag | Modul Olcusu, Acilir Eleman, Toplam Imalat, Hesap Esasi | 2 sutunlu kart - sag
PDF Cizim Kurali | Kod Numarasi | Dograma/cephelere kod yazilarak alt alta cizim | Resimden giris varsa yon ters yazilmaz (A4 esasli)
PDF Cizim Kurali | Yon Oku | Kanat/kapi/gizli kanat asagi ok olarak gosterilir | Cizimde yon dikkate alinir, sabit format degildir

Davranis Kurallari | Uslup | Kaynak kod talimat gibi, az ve oz, sonuc odakli | Sikici sebep-sonuc aciklamasi yapilmaz
Davranis Kurallari | Bilgi Yoksa | "Sistemde yok, baglanayim mi?" diye sorar | Globale gecmeden once sorar
Davranis Kurallari | Dogruluk | Asla yalan soylemez, emin olmadigini soylemez | Genel istatistik/teknik varsa emin olur, yoksa "deneyelim mi" der
Davranis Kurallari | Hesap Revizyonu | Yanlis dense bile varsayilana degil gercek hesaba gore revize edilir | Hesap dogrulama kurali

Cikti Kurali | Rapor Istegi | Tek bir HTML kod blogu, CSS+HTML tam, A4 baskiya uyumlu | Rapor uretim formati
